X,Y,Field1,osm_type,display_name,place_id,class,type,road,village,city_district,town,city,state,country,postcode,icon_url
74.7247252746277,23.2178602,unknown,relation,"Unknown, Amarpura Kalan, Rawti Tahsil, Ratlam District, Madhya Pradesh, India","372197706",boundary,administrative,,Amarpura Kalan,Unknown,,,Madhya Pradesh,India,,./0.png
-86.7335723100643,33.5657996402243,"508 78th Street North, Birmingham",way,"508, 78th Street North, Trotwood Park, Birmingham, Jefferson County, Alabama, 35206, Stati Uniti d'America","353396272",place,house,78th Street North,,,,Birmingham,Alabama,Stati Uniti d'America,"35206",./0.png
-86.852063,33.471871,"1445-D Hugh Denman Drive SW, Birmingham",way,"Hugh Denman Drive Southwest, Mason City, Birmingham, Jefferson County, Alabama, 35211, Stati Uniti d'America","291067",highway,residential,Hugh Denman Drive Southwest,,,,Birmingham,Alabama,Stati Uniti d'America,"35211",./0.png
-86.937149,33.525959,"1101 Trenton Place, Birmingham",way,"Trenton Place, Birmingham, Jefferson County, Alabama, 35224, Stati Uniti d'America","216128",highway,residential,Trenton Place,,,,Birmingham,Alabama,Stati Uniti d'America,"35224",./0.png
-86.8023549512195,33.4904656585366,"1407 17th Avenue South, Birmingham",way,"1407, 17th Avenue South, Cullom Street-Twelfth Street South Historic District, Glen Iris, Birmingham, Jefferson County, Alabama, 35205, Stati Uniti d'America","353364671",place,house,17th Avenue South,,,,Birmingham,Alabama,Stati Uniti d'America,"35205",./0.png
0,0,"2385 Zinna Drive, Hueytown",,,,,,,,,,,,,,./0.png
-86.802795,33.419708,"3029 Massey Road, Vestavia Hills",way,"3029, Massey Road, Crossgate, Gentilly Forest, Vestavia Hills, Jefferson County, Alabama, 35216, Stati Uniti d'America","353383825",place,house,Massey Road,,,Vestavia Hills,,Alabama,Stati Uniti d'America,"35216",./0.png
-86.8245024285714,33.5449484285714,"2015 26th Avenue North, Birmingham",way,"2015, 26th Avenue North, North Birmingham, Birmingham, Jefferson County, Alabama, 35234, Stati Uniti d'America","353387969",place,house,26th Avenue North,,,,Birmingham,Alabama,Stati Uniti d'America,"35234",./0.png
-86.75346,33.523705,"1100 52nd Street South, Birmingham",way,"1100, 52nd Street South, Birmingham, Jefferson County, Alabama, 35222, Stati Uniti d'America","353383089",place,house,52nd Street South,,,,Birmingham,Alabama,Stati Uniti d'America,"35222",./0.png
-86.8087918163265,33.5670643673469,"3021 42nd Avenue North, Birmingham",way,"3021, 42nd Avenue North, Birmingham, Jefferson County, Alabama, 35207, Stati Uniti d'America","353385538",place,house,42nd Avenue North,,,,Birmingham,Alabama,Stati Uniti d'America,"35207",./0.png
